Nome Esercizio,Variante,URL YouTube,F/A,Movement Pattern,Bicipiti,Core,Deltoidi Anteriori,Deltoidi Posteriori,Deltoidi Laterali,Femorali,Glutei,Pettorali,Polpacci,Quadricipiti,Trapezi,Tricipiti,Erettori,Adduttori,
Squat Low Bar,"Discesa 5""; Discesa 3"" Salita 3"";  Fermo 1"" in buca;  Fermo 3"" in buca; Doppio fermo 2""; Salita 3""; Caos 30%; Caos 50%; Caos 50%; Deloading ; Overloading; Pin; Beltless; Full Raw; Catene; ",https://www.youtube.com/watch?v=1E4VBdqzSWQ&list=PL2OC9xrmbse-LqDvZBuPkZhWDqN4y8I-w&index=37,F,Accosciata,,0.3,,,,,1,,,1,,,0.6,0.5,
Squat High Bar,"Discesa 5""; Discesa 3"" Salita 3"";  Fermo 1"" in buca;  Fermo 3"" in buca; Doppio fermo 2""; Salita 3""; Caos 30%; Caos 50%; Caos 50%; Deloading ; Overloading; Pin; Beltless; Full Raw; Catene; ",https://www.youtube.com/watch?v=Z4PA3dij-no&list=PL2OC9xrmbse-LqDvZBuPkZhWDqN4y8I-w&index=36,F,Accosciata,,0.3,,,,,1,,,1,,,0.6,0.5,
Squat Safety Bar,"Discesa 5""; Discesa 3"" Salita 3"";  Fermo 1"" in buca;  Fermo 3"" in buca; Doppio fermo 2""; Salita 3""; Caos 30%; Caos 50%; Caos 50%; Deloading ; Overloading; Pin; Beltless; Full Raw; Catene; ",https://www.youtube.com/watch?v=vh4VrdbM120&list=PL2OC9xrmbse-LqDvZBuPkZhWDqN4y8I-w&index=40,F,Accosciata,,0.3,,,,,1,,,1,,,0.6,0.5,
Squat Westside Style,"Discesa 5""; Discesa 3"" Salita 3"";  Fermo 1"" in buca;  Fermo 3"" in buca; Doppio fermo 2""; Salita 3""; Caos 30%; Caos 50%; Caos 50%; Deloading ; Overloading; Pin; Beltless; Full Raw; Catene; ",,F,Accosciata,,0.3,,,,,1,,,1,,,0.6,0.5,
Front Squat,"Discesa 5""; Discesa 3"" Salita 3"";  Fermo 1"" in buca;  Fermo 3"" in buca; Doppio fermo 2""; Salita 3""; Caos 30%; Caos 50%; Caos 50%; Deloading ; Overloading; Pin; Beltless; Full Raw; Catene; ",https://www.youtube.com/watch?v=AiYlBveYG6U&list=PL2OC9xrmbse-LqDvZBuPkZhWDqN4y8I-w&index=20,F,Accosciata,,0.3,,,,,1,,,1,,,0.6,0.5,
Zercher Squat,"Discesa 5""; Discesa 3"" Salita 3"";  Fermo 1"" in buca;  Fermo 3"" in buca; Doppio fermo 2""; Salita 3""; Caos 30%; Caos 50%; Caos 50%; Deloading ; Overloading; Pin; Beltless; Full Raw; Catene; ",https://www.youtube.com/watch?v=lsfVJswEMsM&list=PL2OC9xrmbse-LqDvZBuPkZhWDqN4y8I-w&index=42,F,Accosciata,,0.3,,,,,1,,,1,,,0.6,0.5,
Squat Cambered Bar H,"Discesa 5""; Discesa 3"" Salita 3"";  Fermo 1"" in buca;  Fermo 3"" in buca; Doppio fermo 2""; Salita 3""; Caos 30%; Caos 50%; Caos 50%; Deloading ; Overloading; Pin; Beltless; Full Raw; Catene; ",,F,Accosciata,,0.3,,,,,1,,,1,,,0.6,0.5,
Squat cambered Bar L,"Discesa 5""; Discesa 3"" Salita 3"";  Fermo 1"" in buca;  Fermo 3"" in buca; Doppio fermo 2""; Salita 3""; Caos 30%; Caos 50%; Caos 50%; Deloading ; Overloading; Pin; Beltless; Full Raw; Catene; ",,F,Accosciata,,0.3,,,,,1,,,1,,,0.6,0.5,
Squat Bow Bar,"Discesa 5""; Discesa 3"" Salita 3"";  Fermo 1"" in buca;  Fermo 3"" in buca; Doppio fermo 2""; Salita 3""; Caos 30%; Caos 50%; Caos 50%; Deloading ; Overloading; Pin; Beltless; Full Raw; Catene; ",,F,Accosciata,,0.3,,,,,1,,,1,,,0.6,0.5,
Squat High Bar Box,"Discesa 5""; Discesa 3"" Salita 3"";  Fermo 1"" in buca;  Fermo 3"" in buca; Doppio fermo 2""; Salita 3""; Caos 30%; Caos 50%; Caos 50%; Deloading ; Overloading; Pin; Beltless; Full Raw; Catene; ",,F,Accosciata,,0.3,,,,,1,,,1,,,0.6,0.5,
Squat Low Bar Box,"Discesa 5""; Discesa 3"" Salita 3"";  Fermo 1"" in buca;  Fermo 3"" in buca; Doppio fermo 2""; Salita 3""; Caos 30%; Caos 50%; Caos 50%; Deloading ; Overloading; Pin; Beltless; Full Raw; Catene; ",,F,Accosciata,,0.3,,,,,1,,,1,,,0.6,0.5,
Goblet  Squat,Tallone rialzato; Tutto il piede rialzato; ,,A,Accosciata,,0.3,,,,,1,,,1,,,0.6,0.5,
Belt Squat,"Discesa 5""; Discesa 3"" Salita 3"";  Fermo 1"" in buca;  Fermo 3"" in buca; Doppio fermo 2""; Salita 3""; Caos 30%; Caos 50%; Caos 50%; Deloading ; Overloading; Pin; Beltless; Full Raw; Catene; ",https://www.youtube.com/watch?v=frs5nQ4TRJQ&list=PL2OC9xrmbse-LqDvZBuPkZhWDqN4y8I-w&index=45,A,Accosciata,,0.3,,,,,1,,,1,,,0.6,0.5,
Pendulum Squat,"Discesa 5""; Discesa 3"" Salita 3"";  Fermo 1"" in buca;  Fermo 3"" in buca; Doppio fermo 2""; Salita 3""; Caos 30%; Caos 50%; Caos 50%; Deloading ; Overloading; Pin; Beltless; Full Raw; Catene; ",https://www.youtube.com/watch?v=TB2R-Zgtp4k&list=PL2OC9xrmbse-YqQ6nxQ1meEaE7YIk6uZD&index=28,A,Accosciata,,0,,,,,0.5,,,1,,,,0.5,
Squat Multipower,"Discesa 5""; Discesa 3"" Salita 3"";  Fermo 1"" in buca;  Fermo 3"" in buca; Doppio fermo 2""; Salita 3""; Caos 30%; Caos 50%; Caos 50%; Deloading ; Overloading; Pin; Beltless; Full Raw; Catene; ",,A,Accosciata,,0.3,,,,,1,,,1,,,0.6,0.5,
Affondi multipower,"Discesa 5""; Discesa 3"" Salita 3"";  Fermo 1"" in buca;  Fermo 3"" in buca; Doppio fermo 2""; Salita 3""; Caos 30%; Caos 50%; Caos 50%; Deloading ; Overloading; Pin; Beltless; Full Raw; Catene; ",https://www.youtube.com/watch?v=HPREVg8KFsE&list=PL2OC9xrmbse-YqQ6nxQ1meEaE7YIk6uZD&index=53,A,Accosciata,,0.3,,,,,1,,,1,,,,0.5,
Affondi sul posto,"1  manubrio controlaterale; 1 manubrio omolaterale ; in appoggio; 2 manubri ; discesa lenta; fermo1"" in basso; Multipower; Multipower pin; Al belt squat; ",,A,Accosciata,,0.3,,,,,1,,,1,,,,0.5,
Affondi dietro,"1  manubrio controlaterale; 1 manubrio omolaterale ; in appoggio; 2 manubri ; discesa lenta; fermo1"" in basso; Multipower; Multipower pin; Al belt squat; ",https://www.youtube.com/watch?v=HPREVg8KFsE&list=PL2OC9xrmbse-YqQ6nxQ1meEaE7YIk6uZD&index=53,A,Accosciata,,0.3,,,,,1,,,1,,,,0.5,
Affondi camminati,"1  manubrio controlaterale; 1 manubrio omolaterale ; in appoggio; 2 manubri ; discesa lenta; fermo1"" in basso; Multipower; Multipower pin; Al belt squat; ",,A,Accosciata,,0.3,,,,,1,,,1,,,,0.5,
Squat Bulgaro,"1  manubrio controlaterale; 1 manubrio omolaterale ; in appoggio; 2 manubri ; discesa lenta; fermo1"" in basso; Multipower; Multipower pin; Al belt squat; ",https://www.youtube.com/watch?v=FTBEwy-4QEg&list=PL2OC9xrmbse-YqQ6nxQ1meEaE7YIk6uZD&index=50,A,Accosciata,,0.3,,,,,1,,,1,,,,0.5,
Squat Bulgaro Safety Bar,"1  manubrio controlaterale; 1 manubrio omolaterale ; in appoggio; 2 manubri ; discesa lenta; fermo1"" in basso; Multipower; Multipower pin; Al belt squat; ",https://www.youtube.com/watch?v=FTBEwy-4QEg&list=PL2OC9xrmbse-YqQ6nxQ1meEaE7YIk6uZD&index=50,A,Accosciata,,0.3,,,,,1,,,1,,,,0.5,
Affondo Safety bar,"1  manubrio controlaterale; 1 manubrio omolaterale ; in appoggio; 2 manubri ; discesa lenta; fermo1"" in basso; Multipower; Multipower pin; Al belt squat; ",,A,Accosciata,,0.3,,,,,1,,,1,,,,0.5,
Leg press ,"discesa 3""; fermo 1"" in basso; salita esplosiva; piede alto focus gluteo; piedi in basso; piedi centrali;",https://www.youtube.com/watch?v=KkiE6kzL9Ak&list=PL2OC9xrmbse-YqQ6nxQ1meEaE7YIk6uZD&index=29,A,Accosciata,,,,,,,0.5,,,1,,,,0.5,
Leg press monolaterale,"discesa 3""; fermo 1"" in basso; salita esplosiva; piede alto focus gluteo; piedi in basso; piedi centrali;",,A,Accosciata,,,,,,,0.5,,,1,,,,0.5,
Hack Squat ,"discesa 3""; fermo 1"" in basso; salita esplosiva; piede alto focus gluteo; piedi in basso; piedi centrali; Deloading; Overloading",,A,Accosciata,,,,,,,,,,1,,,,,
Leg extension ,"fermo 1"" in alto; discesa 3"";",https://www.youtube.com/watch?v=A1YytJHCQqc&list=PL2OC9xrmbse-YqQ6nxQ1meEaE7YIk6uZD&index=39,A,Accosciata,,,,,,,,,,1,,,,,
Sissi Squat ,,,A,Accosciata,,,,,,,,,,1,,,,,
Copenaghen Plank,isometria; full; ginocchio flesso,,A,Accosciata,,1,,,,,,,,,,,,1,
Adductor Machine,"apri in 3""; 2"" in max stretch;",https://www.youtube.com/watch?v=WHBJQ7ax05U&list=PL2OC9xrmbse-YqQ6nxQ1meEaE7YIk6uZD&index=42,A,Accosciata,,,,,,,,,,,,,,1,
Leg extension Monolaterale,"fermo 1"" in alto; discesa 3"";",,A,Accosciata,,,,,,,,,,1,,,,,
Stacco Regular ,"salita lenta 5""; salita 4"" al ginocchio e chiudi; fermo 2"" ad 1cm da terra; doppio fermo 2"" appena staccato e 2"" al ginocchio; fermo 2""al ginocchio; discesa 5""; deficit 5cm; deficit 8cm; Overloading; Delaoding; Beltless; No fascette",https://www.youtube.com/watch?v=Mlv6rc7ARXA&list=PL2OC9xrmbse-LqDvZBuPkZhWDqN4y8I-w&index=53,F,Hip Hinge,,0.5,,,,0.8,0.8,,,0.5,,,1,0.5,
Stacco Regular Quadra Bar,"salita lenta 5""; salita 4"" al ginocchio e chiudi; fermo 2"" ad 1cm da terra; doppio fermo 2"" appena staccato e 2"" al ginocchio; fermo 2""al ginocchio; discesa 5""; deficit 5cm; deficit 8cm; Overloading; Delaoding; Beltless; No fascette",https://www.youtube.com/watch?v=c6-J6z_Hpfc&list=PL2OC9xrmbse-LqDvZBuPkZhWDqN4y8I-w&index=32,F,Hip Hinge,,0.5,,,,0.8,0.8,,,0.5,,,1,0.5,
Stacco Sumo,"salita lenta 5""; salita 4"" al ginocchio e chiudi; fermo 2"" ad 1cm da terra; doppio fermo 2"" appena staccato e 2"" al ginocchio; fermo 2""al ginocchio; discesa 5""; deficit 5cm; deficit 8cm; Overloading; Delaoding; Beltless; No fascette",https://www.youtube.com/watch?v=HQJ6XoMxuPk&list=PL2OC9xrmbse-LqDvZBuPkZhWDqN4y8I-w&index=31,F,Hip Hinge,,0.5,,,,0.5,0.5,,,0.8,,,0.8,1,
Stacco Semi-Sumo,"salita lenta 5""; salita 4"" al ginocchio e chiudi; fermo 2"" ad 1cm da terra; doppio fermo 2"" appena staccato e 2"" al ginocchio; fermo 2""al ginocchio; discesa 5""; deficit 5cm; deficit 8cm; Overloading; Delaoding; Beltless; No fascette",,F,Hip Hinge,,0.5,,,,0.5,0.5,,,0.8,,,0.8,1,
Stacco Rumeno,"discesa 3""; fermo 1"" in basso; deficit; overlaoding; delaoding; dai blocchi con deadstop",https://www.youtube.com/watch?v=Ni8-nEC3ucg&list=PL2OC9xrmbse-LqDvZBuPkZhWDqN4y8I-w&index=2,A,Hip Hinge,,0.5,,,,1,1,,,,,,1,0.5,
Stacco Gambe Semitese,"discesa 3""; fermo 1"" in basso; deficit; overlaoding; delaoding; dai blocchi con deadstop",https://www.youtube.com/watch?v=lAKAAITyfkY&list=PL2OC9xrmbse-LqDvZBuPkZhWDqN4y8I-w&index=1,A,Hip Hinge,,0.5,,,,1,1,,,,,,1,0.5,
Stacco Regular Blocchi Bassi,"salita lenta 5""; salita 4"" al ginocchio e chiudi; fermo 2"" ad 1cm da terra; doppio fermo 2"" appena staccato e 2"" al ginocchio; fermo 2""al ginocchio; discesa 5""; deficit 5cm; deficit 8cm; Overloading; Delaoding; Beltless; No fascette",,F,Hip Hinge,,0.5,,,,0.8,0.8,,,0.5,,,1,0.5,
Stacco Regular Blocchi Alti,"salita lenta 5""; salita 4"" al ginocchio e chiudi; fermo 2"" ad 1cm da terra; doppio fermo 2"" appena staccato e 2"" al ginocchio; fermo 2""al ginocchio; discesa 5""; deficit 5cm; deficit 8cm; Overloading; Delaoding; Beltless; No fascette",,F,Hip Hinge,,0.5,,,,0.8,0.8,,,0.5,,,1,0.5,
Stacco Rumeno B-stance Ktb,"discesa 3""; fermo 1"" in basso; deficit; overlaoding; delaoding; dai blocchi con deadstop",https://www.youtube.com/watch?v=XaG2Vi6bAWE&list=PL2OC9xrmbse-LqDvZBuPkZhWDqN4y8I-w&index=48,A,Hip Hinge,,0.5,,,,1,1,,,,,,1,0.5,
